function	A011.337.951	A011.796.405	A065.688.849	A139.426.047	A257.868.269	A290.419.594	A328.260.254	A328.607.302	A475.161.163	A510.125.355	A517.753.353	A519.936.442	A603.130.471	A603.362.293	A627.062.688	A674.187.094	A712.481.521	A742.300.741	A750.812.113	A866.438.792	A896.860.089	A912.362.107	A912.836.594	A929.187.519	description
EC:1.1.1.26	204.0	2.0	288.0	95.0	70.0	60.0	35.0	19.0	293.0	36.0	3824.0	910.0	0.0	8.0	43.0	2.0	0.0	139.0	5.0	0.0	0.0	28.0	0.0	34.0	Glyoxylate reductase
EC:1.1.1.261	1545.0	1402.6	5681.9	2243.3	6869.5	3301.0	3053.3	2224.0	1834.5	2121.0	4234.5	5546.8	5521.0	7865.9	2303.5	2683.3	9164.73	2629.0	1577.9	3658.0	9158.5	2342.5	4918.5	3552.6	sn-glycerol-1-phosphate dehydrogenase
EC:1.1.1.262	26478.68	20178.88	15290.04	24620.480000000003	22389.72	27476.19	19679.29	33152.450000000004	19175.6	14171.52	19116.71	18422.07	17566.01	23943.140000000007	15555.37	20274.99	21227.43	23491.04	22670.060000000005	25218.78	23828.77	17547.02	21689.77	11403.46	4-hydroxythreonine-4-phosphate dehydrogenase
EC:1.1.1.264	571.6	52.62	96.0	319.0	250.6	0.0	877.6	455.6	172.4	1745.2	457.2	438.4	148.2	264.4	103.0	82.2	192.2	1085.8	203.29	0.0	87.8	62.4	67.4	190.0	L-idonate 5-dehydrogenase (NAD(P)(+))
EC:1.1.1.267	40269.2	26903.82	37253.210000000014	37555.19	40916.84	42316.11	34650.30000000002	42903.710000000014	40817.53	17309.020000000004	40086.43	41373.04	37081.76	36614.63000000001	31383.619999999995	35097.840000000004	38965.7	34143.79	33757.62	37627.87	40953.77	38499.19	37687.05	33989.29	1-deoxy-D-xylulose-5-phosphate reductoisomerase
EC:1.1.1.27	28908.79	8364.83	24074.34	13722.34	20052.79	16743.02	19132.46	19984.2	20708.2	4717.0	21785.68	25818.81	26043.0	12602.54	20148.25	18810.99	20923.55	19971.95	13801.45	11902.26	16339.0	20382.0	20016.53	21215.57	L-lactate dehydrogenase
EC:1.1.1.271	11518.68	20801.79	7499.619999999999	22928.15	21348.22	27959.36	16536.94	30315.950000000004	18969.77	13334.69	19967.8	17854.87	11699.68	22696.9	10198.2	13122.340000000002	16704.600000000002	18897.54	21272.770000000004	24215.95	20821.2	13951.02	17774.7	10087.55	GDP-L-fucose synthase
EC:1.1.1.28	9954.5	13987.59	10047.19	22234.63	26414.02	31318.58	15505.07	18421.65	15864.100000000002	18023.480000000003	25543.31	21706.8	16021.21	22294.69	10666.44	11971.89	21079.700000000004	18789.08	22623.910000000003	24021.83	17847.869999999995	15379.96	20702.189999999995	13192.429999999997	D-lactate dehydrogenase
EC:1.1.1.281	1209.0	50.0	400.0	116.0	504.0	563.0	648.0	297.0	613.0	278.0	6685.0	1681.0	1866.0	751.0	1796.0	318.0	365.0	704.0	389.0	985.0	293.0	21.0	562.0	635.0	GDP-4-dehydro-6-deoxy-D-mannose reductase
EC:1.1.1.282	36.6	47.0	350.0	2749.0	285.6	0.0	910.6	894.6	0.4	1702.2	162.2	164.4	728.2	469.4	305.0	89.2	3.2	1284.8	203.29	690.0	688.8	32.4	3841.4	3.0	Quinate/shikimate dehydrogenase
EC:1.1.1.284	53.85	9.4	862.5	77.0	5.4	45.68	1038.26	52.1	290.4	4052.62	163.06	164.4	1.2	9.4	5.0	12.34	265.7	1082.58	373.29	0.0	1029.3	38.98	37.8	12.75	S-(hydroxymethyl)glutathione dehydrogenase
EC:1.1.1.287	0.0	1.0	3.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	D-arabinitol dehydrogenase (NADP(+))
EC:1.1.1.29	19839.93	21521.55	24640.700000000004	26215.45	37611.4	34827.9	21084.53	34613.45	33477.630000000005	7806.45	30844.38	30159.37	28809.15	29747.9	22787.53	22065.72	26404.33	23368.45	21501.5	32377.45	33870.7	30751.0	28233.8	22279.880000000005	Glycerate dehydrogenase
EC:1.1.1.290	9936.55	13816.29	7345.5999999999985	20332.25	21162.55	26225.29	13482.23	26871.450000000004	15087.6	6751.16	17285.38	16153.8	11939.35	19601.15	8380.6	11512.920000000002	15958.4	14506.24	17125.440000000002	22682.75	19655.9	14236.69	16751.6	9452.6	4-phosphoerythronate dehydrogenase
EC:1.1.1.291	535.0	51.0	96.0	341.0	253.0	6.0	7.0	449.0	190.0	43.0	298.0	283.0	148.0	258.0	102.0	79.0	193.0	206.0	7.0	3.0	19.0	31.0	44.0	187.0	2-hydroxymethylglutarate dehydrogenase
EC:1.1.1.3	39822.32	28207.31	37812.540000000015	38699.41	45650.94	45546.25	38116.400000000016	43806.5	41493.2	21585.6	45231.36	45442.34	39496.38000000001	38864.29	31858.78	36563.529999999984	39885.83	38753.58	34853.76	37929.12	43352.9	39303.210000000014	40860.3	35156.710000000014	Homoserine dehydrogenase
EC:1.1.1.30	73.0	60.33	846.0	285.0	65.0	259.0	43.0	135.0	457.0	20.0	258.0	219.0	68.0	83.0	60.0	146.0	397.0	273.0	206.0	130.0	563.0	49.0	42.0	87.0	3-hydroxybutyrate dehydrogenase
EC:1.1.1.302	1405.0	36.0	179.0	53.0	163.0	89.0	865.0	112.0	56.0	333.0	790.0	1070.0	1373.0	521.0	905.0	143.0	115.0	429.0	273.0	30.0	72.0	35.5	4.0	67.0	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase
EC:1.1.1.303	109.0	50.75	1.25	143.32999999999996	25.25	88.5	30.25	0.0	13.0	58.0	5.0	40.0	4.75	52.9	30.25	29.25	26.0	101.0	200.0	6.25	16.0	6.67	228.17	31.25	Diacetyl reductase ((R)-acetoin forming)
EC:1.1.1.304	382.2	322.65	720.45	979.2	298.25	254.89	441.5100000000001	120.44	476.2	1268.21	317.43	266.0	95.65	442.84	214.85	239.42	74.81	431.39	868.5	1092.75	456.1	204.62	1220.76	104.25	Diacetyl reductase ((S)-acetoin forming)
EC:1.1.1.305	97.6	91.29	18.0	72.0	3.6	8.0	1047.6	6.6000000000000005	13.4	1835.2	173.2	163.4	0.2	38.4	29.0	366.2	163.2	1102.8	373.29	0.0	70.3	41.4	41.40000000000001	10.25	UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating)
EC:1.1.1.306	6.0	16.0	0.0	0.33	23.5	17.75	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	1.0	0.0	9.0	1.0	0.0	3.0	1.67	56.0	3.0	S-(hydroxymethyl)mycothiol dehydrogenase
EC:1.1.1.308	25.0	59.67	0.0	95.0	0.0	32.29	43.76	0.0	3.0	1215.71	2.43	4.0	0.0	8.0	63.0	60.57	0.0	7.29	5.0	0.0	0.0	3.29	63.0	3.0	Sulfopropanediol 3-dehydrogenase
EC:1.1.1.31	17189.85	3477.79	9100.5	9204.8	4859.37	3574.0	7757.49	9263.77	6999.77	7336.83	6670.63	8346.67	10160.33	4686.9	7461.5	9991.44	7159.93	7928.5	7636.93	4612.83	7282.5	7012.33	9400.2	6204.83	3-hydroxyisobutyrate dehydrogenase
EC:1.1.1.310	1652.0	155.0	288.0	1059.0	752.0	15.0	21.0	1347.0	533.0	178.0	897.0	835.0	444.0	838.0	363.0	294.0	578.0	624.0	5.0	5.0	57.0	100.0	148.0	564.0	(S)-sulfolactate dehydrogenase
EC:1.1.1.313	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	14.0	63.0	170.0	0.0	1.5	2.0	0.0	7.25	Sulfoacetaldehyde reductase
EC:1.1.1.320	0.0	1.0	11.0	40.0	22.0	0.0	44.0	0.0	528.0	0.0	640.0	918.0	10.0	9.0	2.0	3.0	17.0	159.0	7.0	0.0	6.0	796.0	8.0	0.0	Benzil reductase ((S)-benzoin forming)
EC:1.1.1.328	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Nicotine blue oxidoreductase
EC:1.1.1.333	0.0	0.0	0.0	0.0	23.5	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase
EC:1.1.1.335	1417.5	0.0	56.67	176.33	32.5	0.0	738.8299999999998	219.0	850.33	1.33	996.0	1268.0	380.83	1432.16	899.3399999999998	317.83	4199.0	923.0	127.0	1110.0	2805.67	1495.0	273.17	116.33	UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase
EC:1.1.1.336	2600.85	3189.29	2881.74	8187.46	590.35	1249.29	2481.29	935.6	2435.39	3174.57	3802.13	4018.8	1755.86	6140.469999999998	2149.68	1891.43	4710.0999999999985	3186.09	3590.19	4188.0	4660.84	1093.19	2530.94	5451.01	UDP-N-acetyl-D-mannosamine dehydrogenase
EC:1.1.1.337	236.0	0.5	1.5	2.0	0.0	8.5	126.0	0.0	0.0	0.0	1.0	0.0	0.0	6.0	24.0	26.0	15.5	36.0	129.0	2.0	0.0	21.5	0.0	4.5	L-2-hydroxycarboxylate dehydrogenase (NAD(+))
EC:1.1.1.338	535.0	51.0	96.0	318.0	247.0	0.0	7.0	449.0	172.0	43.0	295.0	275.0	148.0	258.0	100.0	75.0	192.0	206.0	0.0	0.0	19.0	31.0	37.0	187.0	(2R)-3-sulfolactate dehydrogenase (NADP(+))
EC:1.1.1.339	98.0	107.0	10.75	116.5	140.5	25.0	33.75	124.0	0.0	0.0	89.25	5.0	11.0	177.25	22.5	28.25	6.0	35.5	12.5	64.0	19.5	0.0	5.0	2.0	dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD(+))
EC:1.1.1.34	236.0	0.0	0.0	0.0	0.0	0.0	413.0	0.0	0.0	0.0	0.0	0.0	0.0	231.0	24.0	26.0	14.0	36.0	121.0	0.0	10.0	24.5	0.0	3.0	Hydroxymethylglutaryl-CoA reductase (NADPH)
EC:1.1.1.342	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	315.0	0.0	1281.0	0.0	0.0	3037.0	17.0	0.0	0.0	2598.0	0.0	0.0	0.0	CDP-paratose synthase
EC:1.1.1.343	9744.72	13727.87	6168.19	20153.74	21751.47	26727.04	13752.89	21150.120000000006	16110.43	7017.49	17646.88	16992.8	13119.179999999997	18767.82	7795.69	7210.0	15513.239999999998	16022.74	17381.440000000002	21394.67	14990.07	12536.19	17572.1	8776.51	Phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating)
EC:1.1.1.346	1001.8	2147.75	721.5	3390.83	917.3	277.83	2827.32	1882.8	877.2	7521.02	1983.46	2144.2	1442.6	2274.2	1421.0	1788.74	777.77	3744.98	927.58	787.0	2650.9	961.45	4183.2	622.25	2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming)
EC:1.1.1.35	286.2	25.58	2300.0	478.0	126.7	457.58	2189.06	468.2	2683.8	5773.82	518.26	1234.8	86.4	211.8	158.0	883.54	560.4	2169.18	1143.58	471.0	1201.6	221.38	124.8	187.5	3-hydroxyacyl-CoA dehydrogenase
EC:1.1.1.350	120.6	2.29	10.0	8.0	126.6	139.0	870.6	30.6	17.4	1769.7	166.2	175.4	0.2	10.4	3.0	7.2	2.2	880.8	272.0	6.0	121.8	41.4	30.4	17.0	Ureidoglycolate dehydrogenase (NAD(+))
EC:1.1.1.36	98.0	57.67	1744.0	0.0	0.0	0.0	309.33	327.0	512.0	0.0	0.0	860.0	0.0	0.0	56.0	724.0	221.0	140.0	333.0	362.0	519.0	0.0	26.0	6.0	Acetoacetyl-CoA reductase
EC:1.1.1.361	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Glucose-6-phosphate 3-dehydrogenase
EC:1.1.1.363	9600.8	13435.62	6659.77	19925.41	21419.8	26631.04	13661.64	21076.620000000006	13268.43	6854.49	17587.88	16678.8	12569.929999999997	18667.980000000003	7079.940000000001	7147.0	15645.07	16200.24	17863.190000000002	21669.0	15505.07	12513.19	17042.519999999997	8724.68	Glucose-6-phosphate dehydrogenase (NAD(P)(+))
EC:1.1.1.367	3958.25	4814.4	5483.65	16491.8	5557.25	3655.0	6151.0	4753.75	10177.0	3201.0	13644.25	12096.0	6888.0	5729.0	5993.5	3071.65	7787.4	5639.5	6608.65	10504.5	5247.1	10029.25	6886.1	9728.1	UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase
EC:1.1.1.369	2915.83	2996.33	2467.75	5480.5	4494.5	3925.0	3909.3	3949.75	4232.5	2819.0	9472.08	8084.67	2389.5	6274.25	2888.5	3037.02	7849.83	5404.5	4711.0	7882.0	3061.1	6019.25	4377.1	6324.58	D-chiro-inositol 1-dehydrogenase
EC:1.1.1.37	20330.13	32038.870000000006	15269.14	42987.06	42348.67	52495.44	27600.59	53078.8	31720.300000000007	16762.270000000004	31315.63	33126.6	24338.16	41553.890000000014	18297.97	22834.47	32184.8	33303.19	37794.42000000001	46002.03	37747.37	28392.69	37428.47	18658.48	Malate dehydrogenase
EC:1.1.1.370	54.0	31.5	150.5	16.0	97.0	185.5	149.0	59.0	39.0	0.0	109.0	329.0	29.0	67.0	138.0	48.0	16.5	59.0	103.0	26.0	31.0	0.0	356.0	15.5	Scyllo-inositol 2-dehydrogenase (NAD(+))
EC:1.1.1.371	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Scyllo-inositol 2-dehydrogenase (NADP(+))
EC:1.1.1.373	571.6	52.29	96.0	319.0	250.6	17.29	885.03	455.6	172.4	2911.91	457.63	438.4	148.2	264.4	103.0	82.77	192.2	1087.09	203.29	0.0	87.8	64.69	67.4	190.0	Sulfolactaldehyde 3-reductase
EC:1.1.1.374	236.0	0.0	0.0	0.0	0.0	0.0	126.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	24.0	26.0	13.0	36.0	121.0	0.0	0.0	21.5	0.0	3.0	UDP-N-acetylglucosamine 3-dehydrogenase
EC:1.1.1.38	26583.54	7423.6399999999985	28330.92	19797.88	19478.52	16090.81	19679.66	8693.03	22048.83	7049.91	21827.01	22926.41	24632.2	14948.06	19923.83	18428.46	20562.13	15691.04	11234.68	14831.59	19212.8	22519.69	24937.99	24181.49	Malate dehydrogenase (oxaloacetate-decarboxylating)
EC:1.1.1.380	310.6	30.79	42.5	174.0	14.6	131.79000000000002	878.03	11.6	34.4	2990.41	201.96	262.07	5.2	128.4	268.5	46.94	40.53	907.09	214.0	205.5	126.3	39.69	44.40000000000001	374.08	L-gulonate 5-dehydrogenase
EC:1.1.1.381	1106.6	194.62	192.0	847.5	557.6	33.29	900.03	904.6	344.4	2954.91	792.63	826.4	316.2	527.4	377.0	170.77	399.2	1299.09	211.29	0.0	597.3	425.69	106.4	664.25	3-hydroxy acid dehydrogenase
EC:1.1.1.385	535.0	52.0	96.0	318.0	247.0	0.0	7.0	449.0	172.0	43.0	295.0	275.0	148.0	258.0	100.0	75.0	192.0	206.0	0.0	0.0	19.0	31.0	37.0	187.0	Dihydroanticapsin 7-dehydrogenase
EC:1.1.1.387	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	63.0	170.0	0.0	0.0	2.0	0.0	0.0	L-serine 3-dehydrogenase (NAD(+))
EC:1.1.1.388	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Glucose-6-phosphate dehydrogenase (NAD(+))
EC:1.1.1.39	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0	124.0	0.0	Malate dehydrogenase (decarboxylating)
EC:1.1.1.4	109.0	50.75	1.25	143.32999999999996	25.25	88.5	30.25	0.0	13.0	58.0	5.0	40.0	4.75	52.9	30.25	29.25	26.0	101.0	200.0	6.25	16.0	6.67	228.17	31.25	(R,R)-butanediol dehydrogenase
EC:1.1.1.40	12452.68	19699.62	11619.54	35012.98000000002	23176.22	26247.69	15334.89	35858.450000000004	19976.6	13249.02	15587.38	18649.2	16437.010000000002	25912.14000000001	13304.87	16456.32	18176.6	21047.04	21714.770000000004	27479.28	25947.77	16727.02	35941.27	10291.13	Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))
EC:1.1.1.41	3864.75	918.23	1653.75	1134.75	1024.75	662.17	1881.7	4833.0	840.0	444.0	1677.42	1911.27	3076.5	1871.92	2335.5	1880.75	2258.0	1289.25	1562.75	295.42	669.5	395.0	612.5	878.0	Isocitrate dehydrogenase (NAD(+))
EC:1.1.1.42	31570.95	22973.56	32793.37	27892.7	37888.52	37340.39	31375.620000000006	36108.47	37331.2	15664.94	36396.26	36622.27	31814.180000000004	31567.800000000007	23592.03	29484.76	32438.2	28452.69	30947.870000000006	33181.78	31026.35	33173.270000000004	32228.269999999997	29367.38	Isocitrate dehydrogenase (NADP(+))
