pathway	A011.337.951	A011.796.405	A065.688.849	A139.426.047	A257.868.269	A290.419.594	A328.260.254	A328.607.302	A475.161.163	A510.125.355	A517.753.353	A519.936.442	A603.130.471	A603.362.293	A627.062.688	A674.187.094	A712.481.521	A742.300.741	A750.812.113	A866.438.792	A896.860.089	A912.362.107	A912.836.594	A929.187.519	description
FASYN-INITIAL-PWY	17957.5277	29965.9313	11435.48	32137.7439	41009.1628	42808.2599	22668.5938	35944.1598	29029.0304	11668.1714	9233.2545	23916.0393	24677.5001	32529.361	21536.3277	21203.3987	16514.7149	23605.9455	22039.0208	32962.4876	29733.7964	27084.9753	35661.207	4998.8854	superpathway of fatty acid biosynthesis initiation (E. coli)
FERMENTATION-PWY	22983.8632	12556.7013	22557.4781	22094.186	29525.1917	24932.9539	28335.8309	12298.9403	31286.8884	14751.4732	32413.1839	33455.001000000004	29365.7909	24130.3392	21741.7359	24216.924	26782.0571	27053.6979	22879.926	24180.6773	27386.8752	29383.9058	29679.7734	25310.5393	mixed acid fermentation
FOLSYN-PWY	28951.465	26777.7628	27457.6519	33651.3662	38491.7569	42386.5488	31264.9042	42215.2215	36247.9298	18067.5226	34701.5645	35886.9343	29277.9897	34737.3211	25235.6249	28958.1667	33942.0613	33081.9682	32463.2632	36121.3777	37532.7558	32970.2578	34881.2563	25954.6901	superpathway of tetrahydrofolate biosynthesis and salvage
FUC-RHAMCAT-PWY	2824.5833	3693.6084	4136.6473	4705.4167	4591.9309	7787.8847	7940.6767	14185.2917	6522.5639	8087.9473	6836.8736	8186.8345	3041.3599	6318.1764	3283.1367	7092.5026	6391.7711	6322.5681	10847.6819	4066.3979999999997	5945.0088	2853.3204	5628.463000000001	5584.3289	superpathway of fucose and rhamnose degradation
FUCCAT-PWY	1771.5975	1834.1665	2475.4282	2358.2304	6257.8926	4415.2114	6278.8888	8562.8296	4398.4854	11037.663999999999	6280.7207	6963.0884	2603.996	3303.2409	2466.4932	4807.3627	4627.206	4281.8709	7643.5967	1980.4178	3941.6124	1690.3785	3088.2691	4531.0368	fucose degradation
GALACT-GLUCUROCAT-PWY	7419.0048	14073.6722	11747.3941	11607.9061	16078.2062	24457.8525	17333.6904	15811.8448	22474.6781	9488.0608	25224.0969	20752.7174	11322.225	17296.2165	10237.5307	8220.0668	19044.4254	15817.1624	17802.578	21394.151	13578.5447	17977.4417	12622.832	13182.6333	superpathway of hexuronide and hexuronate degradation
GALACTARDEG-PWY	233.4417	26.7799	2.9954	220.9192	7.1844	105.1184	1306.454	13.167	20.6682	3442.5529	310.4222	357.5434	0.4	77.5489	9.9762	116.3	43.836999999999996	1459.0721	322.575	0.0	135.0291	65.4248	66.6351	32.1485	D-galactarate degradation I
GALACTUROCAT-PWY	17405.4868	21964.0926	16006.4133	25462.8295	31521.967	36821.9563	20032.5884	31399.8513	30663.0159	10126.3538	29748.6141	26964.5043	21628.8065	27173.113999999998	17153.7792	15417.6301	23567.732999999997	21981.5592	21133.4729	28520.5271	23281.632	21422.2774	26867.8364	15210.7582	D-galacturonate degradation I
GALLATE-DEGRADATION-I-PWY	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	gallate degradation II
GALLATE-DEGRADATION-II-PWY	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	gallate degradation I
GLCMANNANAUT-PWY	8171.1672	8638.1354	14277.386999999999	9142.5542	13753.6466	16872.5866	12243.3071	14969.0287	21209.158	9224.1791	19175.3446	15820.8044	11710.8025	13898.835	10140.3623	10071.5674	15634.6823	10407.1964	10698.4705	12032.7612	16121.5345	10316.331	16554.4766	13574.5793	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation
GLUCARDEG-PWY	1071.5738	411.7182	111.3317	355.8346	379.5579	571.8179	1311.9808	154.532	120.1999	3478.4066	523.6108	911.5641	51.9957	1342.9945	107.1903	311.1046	88.0965	1730.7813	322.575	151.4662	1101.9742	147.1112	66.6351	119.4945	D-glucarate degradation I
GLUCARGALACTSUPER-PWY	233.4417	26.7799	2.9954	220.9192	7.1844	105.1184	1306.454	13.167	20.6682	3442.5529	310.4222	357.5434	0.4	77.5489	9.9762	116.3	43.836999999999996	1459.0721	322.575	0.0	135.0291	65.4248	66.6351	32.1485	superpathway of D-glucarate and D-galactarate degradation
GLUCONEO-PWY	36763.6237	30707.2813	36095.1308	42370.532	43688.64599999999	46120.9513	34668.0754	48640.4667	40658.9316	19007.1545	41248.3358	42242.3145	37950.1471	40942.8946	31082.9406	33252.7661	38209.3735	38165.8292	36219.6048	42327.2623	42735.7152	37871.5258	43756.3321	33668.2064	gluconeogenesis I
GLUCOSE1PMETAB-PWY	508.1534	343.8318	1176.0869	368.2328	630.068	102.4616	4000.5627	70.1372	852.3928	12231.1011	454.8971	752.2318	399.202	101.3291	1252.6576	3451.6002	2660.0938	2653.9692	8522.6082	887.1089999999999	2288.7987	731.2715	597.6091	660.3353	glucose and glucose-1-phosphate degradation
GLUCUROCAT-PWY	6233.8126	12644.5827	11858.9651	9408.1032	13317.2347	21877.8504	18066.0349	13653.0373	21108.7723	9710.4488	25964.8288	20398.4553	9744.8395	15568.4069	9185.621	7373.5283	19304.2986	15099.5432	17895.0071	20226.0223	11853.3553	18510.6907	10337.2646	14667.2496	superpathway of &beta;-D-glucuronide and D-glucuronate degradation
GLUTORN-PWY	33641.1092	21774.0358	31632.1421	27903.7369	29311.7464	33687.1406	28390.4727	36932.447	28157.0235	17237.369	27013.0205	28733.7119	26217.7824	28423.0718	22985.5404	28540.1808	28733.9792	26593.1262	26391.4524	29384.0632	27183.6127	28448.7501	26868.6576	25407.5067	L-ornithine biosynthesis
GLYCOCAT-PWY	43997.9147	31607.8005	46341.9621	42928.4841	50414.7629	51683.0063	41812.2706	45670.7839	51729.3976	20513.4935	52667.2618	50665.9347	48066.8841	44145.5493	38020.045	39045.5195	45752.2368	38667.3817	39992.9253	48103.4578	50184.6008	46777.5199	47309.4765	43659.6657	glycogen degradation I (bacterial)
GLYCOGENSYNTH-PWY	37035.6527	21135.5164	43054.6144	33012.4204	44835.7272	42284.795	36133.806000000004	31203.7164	43656.4232	11837.456	45902.5632	45656.0093	44222.6297	34230.3228	34310.102	34747.5547	40146.5774	33766.8697	28621.7684	35861.0898	43031.7136	41312.8328	39686.3237	38079.1129	glycogen biosynthesis I (from ADP-D-Glucose)
GLYCOL-GLYOXDEG-PWY	323.7509	40.3147	1272.9784	147.8803	49.5568	35.5642	2317.4189	12.4963	549.0509	3845.3588	596.7276	608.3027	10.7085	88.8639	43.2862	114.3427	370.89300000000003	2386.897	1267.8231	1.9994	1063.2116	65.0232	128.7166	114.6466	superpathway of glycol metabolism and degradation
GLYCOLYSIS	37134.8594	30523.2709	33215.2808	41447.4703	46657.3124	49185.6756	37755.5796	43555.1256	41889.2979	21880.3733	43837.774000000005	45226.1133	39003.8351	42524.6094	29371.6697	32540.0149	40152.3678	41454.3568	40581.8119	44775.4416	40159.2839	40455.8234	42223.523	34129.4429	glycolysis I (from glucose 6-phosphate)
GLYCOLYSIS-E-D	12749.8821	12054.883999999998	6747.6134	22119.647	9250.4697	16379.0558	12419.4862	17558.5587	7912.8925	10878.018999999998	7909.5791	13550.7874	6675.8709	15846.0411	11964.695	11366.3938	5531.8763	22914.39	6507.9901	7784.0676	21333.5597	9727.915	18123.0533	9838.3834	superpathway of glycolysis and Entner-Doudoroff
GLYCOLYSIS-TCA-GLYOX-BYPASS	342.1611	115.8336	3734.4096	557.9918	175.9822	128.5496	5137.2935	432.0126	3.597	9920.0331	1102.3883	1148.4655	1.767	97.6869	135.4804	117.5247	1262.7730000000001	6327.8818	2904.167	0.0	3292.6598	324.0011	439.2524	155.3381	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass
GLYOXYLATE-BYPASS	401.3868	40.5515	1604.8588	149.7066	61.3562	36.0661	3481.8079	155.9283	637.9648	7197.3004	653.9582	656.1254	10.7981	89.4947	43.9581	117.6896	473.58	3906.3101	1476.2054	2.0	1299.5128	520.0654	131.3745	116.2294	glyoxylate cycle
GOLPDLCAT-PWY	88.16	11.9921	5.9415	292.259	128.1932	661.7736	274.385	5.7887	128.3127	59.1728	79.3581	43.4101	24.7644	69.9194	53.526	63.3159	383.9757	74.1622	21.5042	39.4789	34.145	20.3187	360.1707	266.0294	superpathway of glycerol degradation to 1,3-propanediol
HCAMHPDEG-PWY	39.9273	1.0909	0.0	70.0	3.9273	0.0	950.9329	7.2	0.4364	1856.9455	176.9455	178.2545	0.2182	6.9818	3.2727	7.8545	14.2	959.7818	216.0	0.0	76.5392	34.2545	33.1636	10.25	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate
HEME-BIOSYNTHESIS-II	3205.3787	3118.8896	2482.438	4128.05	1773.8691	407.8523	2041.0669	2782.3179	3207.1815	3732.9198	5479.9097	3453.5170000000003	345.5311	2709.6062	3310.3358	2500.6173	558.7456	4096.2305	1643.7015	1218.0178	1520.0192	392.6907	1564.4049	887.793	heme biosynthesis I (aerobic)
HEMESYN2-PWY	4558.2357	3656.3116	4258.2292	7309.4384	2810.1111	1052.8426	4096.6442	3587.7463	5855.1237	5876.5768	8785.9534	6194.1401	2309.2816	5079.1264	4557.4025	3996.5028	1667.4673	5012.3943	2340.6849	2635.0836	6736.7649	3170.3492	9012.2174	1833.6342	heme biosynthesis II (anaerobic)
HEXITOLDEGSUPER-PWY	4860.6982	864.8691	2082.1425	1495.5256	1935.2839999999999	4771.9063	6706.1995	11841.4714	839.7673	8826.5144	4099.7628	7883.6522	2472.0313	2376.9689	3199.7573	2809.7119	2326.1506	6838.6073	4407.1885	1406.1158	1754.3456	676.7654	6583.1652	2436.3588	superpathway of hexitol degradation (bacteria)
HISDEG-PWY	12763.0151	15326.2056	7726.3648	21523.5552	23996.6926	30338.1844	10793.26	18940.9713	18042.1374	4928.5216	18105.175	17693.7342	13326.1235	21645.5233	9185.112	8957.7181	16519.7972	17112.767	18971.0154	24294.037999999997	21458.6727	15703.6404	18632.6844	9948.2234	L-histidine degradation I
HISTSYN-PWY	39469.4741	28622.3419	37214.5091	39572.3547	42732.2014	44583.4761	36619.1555	44959.1145	42429.8391	17895.6766	43875.734000000004	43311.5342	39283.937000000005	39014.5963	32231.8812	35401.9416	40297.0119	35109.3194	36383.3293	40347.3946	38981.5048	40064.4102	40599.9185	35702.2584	L-histidine biosynthesis
HOMOSER-METSYN-PWY	7883.2718	6959.3330000000005	5761.4637	11133.0591	7680.335999999999	9976.8268	7891.8375	10211.9787	4014.6959	9523.8092	4845.3381	12782.4585	7440.7866	9396.6064	9502.985	7425.0625	5273.924	14544.0055	6127.9133	6199.6447	12224.7797	5646.0589	14502.6618	5801.4333	L-methionine biosynthesis I
HSERMETANA-PWY	8450.9398	7305.3858	5993.2354	11652.309	7931.8425	4316.2178	8217.8344	10627.1562	9002.5033	12946.7048	4943.3485	13494.9985	7678.3521	9861.1233	10068.3102	9770.5676	8210.4818	15297.6771	12015.1285	6395.0456	12875.0859	8356.6207	15360.7855	5698.2355	L-methionine biosynthesis III
ILEUSYN-PWY	48264.0321	30613.4842	44401.5783	42812.4456	49454.5376	50467.1981	42817.1423	50016.9939	50742.0818	21555.6154	53500.0808	50764.5082	46103.6224	44744.5154	37809.4799	40402.2256	45404.7567	41264.3067	40637.0227	44556.4259	46050.8872	45221.062000000005	45600.2563	40786.2569	L-isoleucine biosynthesis I (from threonine)
KDO-NAGLIPASYN-PWY	287.0833	718.2932	0.0	1184.5794	499.4119	264.1516	5137.3315	263.0548	3.1995	9261.7798	1508.5436	2013.3348	159.9796	90.8981	1302.7271	164.7663	120.9038	5516.9272	1583.7175	0.0	3861.4386	2522.5915	240.889	1969.3534	superpathway of (Kdo)2-lipid A biosynthesis
KETOGLUCONMET-PWY	70.62	4.5751	169.4532	137.1683	7.1719	0.0	1339.4384	13.1539	0.7996	2833.018	300.6119	303.6595	0.3999	18.7226	9.9649	21.4111	203.2511	1508.0168	333.4915	0.0	169.9704	68.8251	70.2059	20.1678	ketogluconate metabolism
LACTOSECAT-PWY	224.2645	255.1835	498.3384	81.4305	50.0346	90.2435	417.7301	153.6411	43.763999999999996	41.7774	83.6129	784.4144	135.3569	105.6339	339.4371	655.2613	569.6686	339.6896	181.3351	44.0139	139.0916	27.8986	1021.568	82.6927	lactose and galactose degradation I
LEU-DEG2-PWY	281.3579	0.0	1183.7868	0.0	0.0	0.0	367.7772	46.465	1159.5449	0.0	480.0822	129.1592	0.0	5.9722	57.4202	13.2116	345.705	322.4781	272.2617	0.0	747.6965	5.4196	9.6716	0.0	L-leucine degradation I
LPSSYN-PWY	0.0	2.0825	0.0	0.0	0.0	0.0	0.0	261.9382	0.0	0.0	0.0	0.0	139.7825	0.0	0.0	0.0	0.0	0.0	41.2264	0.0	0.0	0.0	0.0	0.0	superpathway of lipopolysaccharide biosynthesis
MET-SAM-PWY	11339.7146	9786.0924	8378.4335	15415.0736	11039.0643	14139.5909	11196.0907	14426.4373	5989.2575	12375.8578	7155.1249	17607.6539	10689.5867	13202.1218	13063.1368	10603.8789	7762.0146	19458.6415	8867.5366	9013.5372	16897.034	8275.7434	19540.3735	8388.1176	superpathway of S-adenosyl-L-methionine biosynthesis
METH-ACETATE-PWY	2500.7761	2548.5992	7639.3301	4558.6812	13066.0446	7641.2095	7510.976	3412.2841	3866.1253	5635.4188	4850.6193	10393.3679	6110.4922	7747.7533	3306.0369	5844.6118	6829.9543	5139.7773	2396.3774	3657.4904	5355.8417	2318.5797	6614.0585	4389.874	methanogenesis from acetate
METHANOGENESIS-PWY	383.4734	0.0	0.0	0.0	0.0	0.0	202.3725	0.0	0.0	0.0	0.0	0.0	0.0	9.915	39.3897	42.7246	21.4349	59.3331	191.028	0.0	0.0	35.3468	0.0	4.9594	methanogenesis from H2 and CO2
METHGLYUT-PWY	85.73299999999999	3.3041	0.0	2.4917	8.5201	0.0	1283.8693	10.7717	0.9996	2552.5719	284.832	309.0551	0.4974	15.1388	7.4673	16.4158	0.4997	1334.9741	380.22	0.0	162.8068	59.5612	57.2951	7.4592	superpathway of methylglyoxal degradation
METHYLGALLATE-DEGRADATION-PWY	0.0	0.0	0.0	0.0	0.0	0.0	3.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	methylgallate degradation
NAD-BIOSYNTHESIS-II	682.2159	409.225	302.9597	517.655	878.7082	1451.0009	3052.067	533.955	66.7315	4872.5767	628.724	1119.364	516.9918	697.4025	775.2814	1153.6669	645.808	2301.8232	924.1409	163.6225	1429.9466	848.4419	380.5548	824.6298	NAD salvage pathway II
NAGLIPASYN-PWY	14828.6579	22145.6754	11748.9493	28832.2944	25394.3546	31203.3749	17806.0289	38200.6735	21823.0122	14589.7519	21005.674	21789.657000000003	14899.11	25872.1892	15347.9343	18351.0363	19987.165	23761.6157	23778.2215	27378.153	26654.3553	18100.7755	23382.8374	12215.7644	lipid IVA biosynthesis
NONMEVIPP-PWY	42356.9388	29805.542999999998	39532.6941	40942.2335	46609.3655	48019.6499	36961.7012	48158.5141	44128.1765	18116.0676	44043.6005	45486.3391	40553.3339	40405.8225	34193.7157	37209.0811	41904.0032	37772.8719	36800.5937	41688.4183	44484.4611	41352.2232	41498.318999999996	36369.5682	methylerythritol phosphate pathway I
NONOXIPENT-PWY	58882.4039	38622.5939	55278.7748	52005.4047	64463.1431	66387.0174	52512.0414	67338.9352	63258.8558	23994.0328	62896.7759	67919.355	58514.857	55080.8285	46829.0703	49848.3368	59286.1548	52751.4677	51493.8376	56273.6927	59646.1038	59055.5004	57152.8352	52450.5301	pentose phosphate pathway (non-oxidative branch)
