PID	A011.337.951	A011.796.405	A065.688.849	A139.426.047	A257.868.269	A290.419.594	A328.260.254	A328.607.302	A475.161.163	A510.125.355	A517.753.353	A519.936.442	A603.130.471	A603.362.293	A627.062.688	A674.187.094	A712.481.521	A742.300.741	A750.812.113	A866.438.792	A896.860.089	A912.362.107	A912.836.594	A929.187.519	Pathway	Pathway1	Pathway2
ko01523	169738.57	146026.45	160891.03	189948.77000000002	225989.88	243613.36000000002	162280.69000000006	252425.94000000003	210631.71999999997	88353.60000000002	199128.23	199284.19	178502.60000000003	194089.24	143141.3	160050.58	190255.79	184724.8	175311.85	204445.59000000003	207562.1	184340.02000000002	197339.63999999996	149619.54	Antifolate resistance	Human Diseases	Drug resistance: antineoplastic
ko04612	41569.73	30265.57	37458.24000000001	41773.73	41266.37	41910.11	35997.37	42738.65	43266.73	16622.520000000004	46059.68	41269.04	36851.41	38637.210000000014	31186.47	35846.08999999998	39261.83	31857.19	34460.87	39821.2	40398.27	40090.52	39642.57	33182.960000000014	Antigen processing and presentation	Organismal Systems	Immune system
ko01504	283457.3900000002	261206.42000000004	220567.15000000002	409341.83000000013	431646.5499999998	487252.24999999977	305497.29999999993	505735.0499999998	359122.26000000024	243058.85	337600.68000000017	390194.22000000015	328137.73000000016	384516.56000000023	230798.08000000002	288591.79000000004	344065.55000000016	323049.57999999996	359254.8999999999	406217.9000000001	338436.90999999986	344388.73000000016	382644.2500000002	268930.1	Antimicrobial resistance genes	Brite Hierarchies	Protein families: signaling and cellular processes
ko04371	236.0	104.0	81.25	113.0	136.5	0.0	529.75	123.0	0.0	0.0	87.25	0.0	43.0	1166.25	35.5	51.25	20.0	43.5	133.5	59.0	29.5	24.5	0.0	3.0	Apelin signaling pathway	Environmental Information Processing	Signal transduction
ko04214	31495.47	19848.79	22687.78	31594.57	28384.689999999995	33794.27	25582.91	40091.28000000001	26076.93	17430.86	27513.31	29285.58	19765.840000000004	30778.38	18094.270000000004	26230.66	26835.4	27513.230000000003	28128.560000000005	28674.090000000004	30617.84	23134.480000000003	25965.6	21117.5	Apoptosis - fly	Cellular Processes	Cell growth and death
ko04215	843.0	274.0	3215.0	322.0	247.0	0.0	436.0	1106.0	2991.0	43.0	295.0	1137.0	148.0	262.0	180.33	1054.0	851.0	1141.0	503.0	362.0	1580.0	225.0	46.0	221.0	Apoptosis - multiple species	Cellular Processes	Cell growth and death
ko04210	20609.28	33864.29	15865.32	38726.429999999986	43562.35	46545.8	23242.83	59298.55	31499.43	7525.23	25609.75	29632.4	23130.53	40547.16	17997.67	24130.180000000004	30614.4	32719.800000000007	29502.35	43754.4	38627.67	25180.75	31758.07	18089.38	Apoptosis	Cellular Processes	Cell growth and death
ko00572	22067.52	3177.1	10291.67	6308.99	3788.82	5467.56	11370.289999999999	6449.6799999999985	3071.9	3889.91	3988.05	7038.57	9208.45	4544.41	7934.75	11003.92	10130.710000000001	12025.29	7202.29	1746.34	4087.55	9328.53	3736.3	9643.83	Arabinogalactan biosynthesis - Mycobacterium	Metabolism	Glycan biosynthesis and metabolism
ko00590	22425.5	21837.23	16326.49	19113.410000000003	21508.57	25703.63	14743.54	19430.379999999997	16418.33	6709.299999999999	14744.670000000002	12434.539999999999	13382.630000000001	18468.850000000002	13800.72	14155.859999999999	11748.6	17003.68	17754.83	20587.07	19396.02	14061.880000000001	18494.67	6861.219999999998	Arachidonic acid metabolism	Metabolism	Lipid metabolism
ko00330	302614.7	252683.1100000001	293138.07	365132.73	360335.45000000007	402599.6299999999	305173.5700000001	400511.2899999998	393349.1000000002	198052.31000000008	369931.4000000001	356840.99999999994	301704.5500000001	335269.0	261071.73	278574.56999999995	314069.7000000001	314896.98999999993	301324.37000000005	341010.95	343156.9699999998	316653.16000000003	333710.69	277146.37000000005	Arginine and proline metabolism	Metabolism	Amino acid metabolism
ko00220	463878.13	348887.43	439813.48999999993	480238.0999999999	524314.7700000001	570785.4	440803.06	547665.2699999999	505403.9300000001	240196.97999999998	515361.26999999996	512952.65	447775.6200000001	486780.57999999996	366115.7	420537.54000000004	481428.08	442834.79	445852.22	488827.87000000005	481707.22000000003	474858.4000000001	487192.72	398258.8900000001	Arginine biosynthesis	Metabolism	Amino acid metabolism
ko05412	22.0	110.0	81.25	123.0	147.5	0.0	116.75	123.0	14.0	0.0	97.25	8.0	43.0	991.25	11.5	34.25	8.0	7.5	12.5	64.0	19.5	6.0	28.0	3.0	Arrhythmogenic right ventricular cardiomyopathy	Human Diseases	Cardiovascular disease
ko00053	77003.24999999999	71279.11	58048.07	97423.40000000002	87846.42000000004	113753.38999999996	91766.20999999999	91679.39	95338.70999999999	85699.85	116302.16000000003	110776.29999999997	70135.77999999998	95719.56999999999	66833.98000000001	58994.15999999999	95349.21	90535.03	95310.49999999997	97755.93000000001	83748.45000000003	84956.20000000001	91394.59999999999	79475.6	Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism
ko00791	4258.5	1272.49	3172.01	4681.99	2748.5	2876.37	3476.5299999999997	3351.75	2463.9900000000002	4277.62	2748.54	3328.0	2771.49	3060.68	2644.2699999999995	1861.6999999999998	3714.0	5344.87	3494.62	3962.25	4399.76	2770.87	4665.26	1796.7399999999998	Atrazine degradation	Metabolism	Xenobiotics biodegradation and metabolism
ko04140	236.0	0.0	0.0	0.0	0.0	0.0	413.0	0.0	0.0	0.0	0.0	0.0	0.0	231.0	24.0	26.0	14.0	36.0	121.0	0.0	10.0	24.5	0.0	3.0	Autophagy - animal	Cellular Processes	Transport and catabolism
ko04138	3683.6	3504.7	6151.75	8119.13	7812.2	4360.75	3528.45	3589.1	8165.1	671.5	13941.8	8267.5	11352.75	4435.0	7074.25	5066.7	3782.6	5135.5	3501.6	6064.0	7130.0	4987.17	10752.28	6011.5	Autophagy - yeast	Cellular Processes	Transport and catabolism
ko04361	21267.77	14605.02	15397.9	23662.8	25838.85	25087.53	20543.48	28490.35	21410.73	5178.45	15262.62	22576.07	18612.45	18825.97	12459.33	18107.75	21731.43	14703.8	18337.44	21919.67	21200.9	19320.19	25280.5	16118.6	Axon regeneration	Organismal Systems	Development and regeneration
ko02030	420812.99999999994	113567.95999999999	361850.74	82086.11	221516.2900000001	168006.08000000002	273252.84	109063.08000000002	201084.58000000002	104613.15000000005	399044.94000000006	202698.8	300711.41000000015	176974.98999999996	236513.7799999999	245595.87	230621.89999999994	234182.25999999998	150661.08999999994	191441.76000000007	271187.76999999984	250977.00999999998	191436.66999999993	271185.0699999999	Bacterial chemotaxis	Cellular Processes	Cell motility
ko05100	241.0	29.439999999999998	1.25	26.0	26.25	74.5	4396.25	35.0	15.0	8590.0	816.5	828.0	5.75	41.5	36.75	55.25	2.0	4477.5	1027.29	3.25	374.0	184.33	312.5	38.75	Bacterial invasion of epithelial cells	Human Diseases	Infectious disease: bacterial
ko02035	1001103.339999999	240579.67000000004	887817.54	225405.58	468674.58999999973	330834.0999999999	678724.2999999998	252061.8700000002	443720.7900000002	344472.86000000016	882590.5800000001	441153.8	710585.69	403349.8300000002	555282.4600000001	566464.7500000001	543535.1299999998	612999.1800000007	383863.4199999999	467844.36999999994	653132.2699999999	603932.8799999999	491925.5000000003	664377.7900000002	Bacterial motility proteins	Brite Hierarchies	Protein families: signaling and cellular processes
ko03070	512070.98999999935	351530.91	488263.8100000001	575697.41	566645.0499999993	558385.6299999997	482979.03000000014	612308.2299999993	552525.6800000007	321741.2200000001	560743.1600000003	605012.1800000007	514044.9100000004	504507.8700000007	419588.31	463572.7400000002	503259.3300000004	502655.04000000027	462070.62999999995	516952.37	550393.16	525270.5300000001	546790.3000000007	454493.02	Bacterial secretion system	Environmental Information Processing	Membrane transport
ko02042	75347.52	56089.3	70586.06	84980.16000000002	95555.16	103602.82999999999	76596.31	98190.02	89898.06999999999	36527.049999999996	78063.09000000001	86348.41999999998	78632.19000000002	78271.09000000001	57897.14	66661.37	78370.04	63103.84000000001	77523.70000000001	90039.87	74118.47	82405.99	89186.69	65332.380000000005	Bacterial toxins	Brite Hierarchies	Protein families: signaling and cellular processes
ko03022	723.0	4.0	0.0	17.5	106.0	22.75	1585.0	0.0	0.0	28.0	145.0	7.0	2.0	972.0	72.0	78.0	146.0	108.0	363.0	18.0	75.0	76.5	53.5	81.0	Basal transcription factors	Genetic Information Processing	Transcription
ko03410	384342.43	230379.18000000002	327247.1100000001	332771.88	340965.1100000001	373715.87000000005	322517.9900000001	348426.3200000001	354684.17000000004	174964.86000000004	365148.86	364718.58	327735.67000000004	321944.69	275176.74	299963.57999999996	355689.24000000005	326846.76000000007	301099.82999999996	327274.70999999996	344791.6	341530.8900000001	332302.62	304480.39999999997	Base excision repair	Genetic Information Processing	Replication and repair
ko00362	79344.75999999998	39487.69	83644.63	79953.47000000003	69553.61	81961.44	69977.54	68455.53	76020.53000000001	47480.62	90871.76999999999	82015.61000000002	75822.39	64698.88000000002	63458.54	64639.729999999996	75218.23999999999	82736.12000000001	61995.66000000002	60117.53999999999	73416.09	73167.31	67111.01	77978.78000000001	Benzoate degradation	Metabolism	Xenobiotics biodegradation and metabolism
ko00965	1080.6	123.79	664.5	1275.0	869.6	157.79000000000005	1025.03	50.6	2296.4	2883.91	233.96	380.07	84.2	124.4	671.83	66.94	340.53	986.09	630.29	298.5	1119.3	536.69	96.4	839.0799999999998	Betalain biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
ko04976	236.0	0.0	0.0	0.0	0.0	6.0	413.0	0.0	0.0	0.0	1.0	0.0	0.0	231.0	24.0	26.0	14.0	36.0	121.0	0.0	10.0	24.5	0.0	3.0	Bile secretion	Organismal Systems	Digestive system
ko02026	237646.6500000002	172227.55999999997	247767.22	231724.83000000002	270294.14000000013	266256.0700000002	249068.81999999995	260012.92000000016	253301.4699999999	188015.02000000008	282743.7600000001	260778.96999999983	249877.38000000038	232711.89999999988	194320.47	205599.1799999998	221461.2400000003	241522.3099999999	199483.17000000004	244010.74000000005	274179.07999999955	230932.6800000001	251971.82999999978	222545.12999999995	Biofilm formation - Escherichia coli	Cellular Processes	Cellular community - prokaryotes
ko02025	127076.40000000004	65450.130000000005	122154.98	76136.12000000001	101622.64000000007	100772.56999999995	109536.12999999999	98936.94000000008	101062.27999999994	90287.89000000006	114440.97000000004	97408.63999999998	99302.61999999997	91102.56999999995	82460.07	88185.33000000005	106892.58	98068.37999999996	90740.90999999997	96809.40999999999	124443.69000000003	102069.7	93728.00999999992	93833.17000000003	Biofilm formation - Pseudomonas aeruginosa	Cellular Processes	Cellular community - prokaryotes
ko05111	284059.75000000006	223576.03000000006	220114.24000000002	298116.52	333034.37999999995	369186.30999999994	268332.79000000004	348412.49000000005	265446.72	177114.70000000004	255148.86000000007	296897.49	252818.0200000002	301918.56000000006	198781.05000000002	222625.27999999997	289793.8300000002	288319.01999999996	271976.20999999996	300267.17000000004	297786.40999999974	260792.49000000008	273213.7	230729.31999999992	Biofilm formation - Vibrio cholerae	Cellular Processes	Cellular community - prokaryotes
ko01051	90991.19	58556.27	91959.88	75796.92	118370.01	120210.5	87921.69000000003	95591.69000000002	110787.73	43808.35000000001	108463.56	118387.79	102541.71	90392.84	75793.37	77988.83	107084.68	81069.66	86374.79	94599.96	95468.82	106221.29	95965.03	95615.69	Biosynthesis of ansamycins	Metabolism	Metabolism of terpenoids and polyketides
ko01053	9079.780000000002	15704.360000000006	5403.04	21036.13000000001	20502.819999999992	24624.850000000002	15924.280000000002	26721.969999999998	12719.819999999998	30017.98	12627.329999999994	12347.769999999999	9709.710000000005	16841.88000000001	9241.04	11622.840000000002	11017.640000000005	19146.08	18991.510000000006	16591.45	18257.069999999992	6776.7599999999975	15120.669999999998	4237.63	Biosynthesis of siderophore group nonribosomal peptides	Metabolism	Metabolism of terpenoids and polyketides
ko01040	1582.7999999999997	341.03000000000003	2757.42	1143.33	579.47	114.61999999999998	4895.5	379.30000000000007	1785.37	15427.56	1303.8899999999999	2003.2	698.1800000000001	535.53	1293.75	2012.98	2056.2699999999995	5005.77	5907.45	1093.33	3698.8999999999996	1725.07	620.9499999999999	690.75	Biosynthesis of unsaturated fatty acids	Metabolism	Lipid metabolism
ko01055	42989.03	32310.430000000004	37213.28	41188.24	42207.47	41462.46	35134.01000000002	44652.47	43637.19	17159.350000000002	44990.01	41697.609999999986	37877.84	41782.69	31600.71	35537.39	38592.10000000001	41056.74	35895.770000000004	43702.45	42191.19	38014.19	42230.289999999986	33709.97	Biosynthesis of vancomycin group antibiotics	Metabolism	Metabolism of terpenoids and polyketides
ko00998	68298.12	65491.94	77450.68	79703.47000000002	105861.99	108313.39	74508.74	99870.13	103080.66	37430.58	83947.67000000001	98348.87999999999	85996.79	87804.87999999999	64736.01	69943.9	90115.62999999999	79268.01	73397.38999999998	89408.98999999998	97074.34000000001	94516.48	92659.57	76967.6	Biosynthesis of various secondary metabolites - part 2	Metabolism	Biosynthesis of other secondary metabolites
ko00997	0.0	0.0	0.0	5.0	123.0	202.15999999999997	29.72	0.0	5.0	4686.84	4.72	2.0	0.0	4.0	0.0	2.28	2.0	5.16	66.0	2.0	0.0	19.159999999999997	0.0	8.0	Biosynthesis of various secondary metabolites - part 3	Metabolism	Biosynthesis of other secondary metabolites
ko00780	349160.01999999996	323645.07	315714.52999999997	450150.19	503074.42000000004	544178.5700000001	348175.34	533615.2200000001	417045.63	194291.24000000002	372497.54	417974.72000000003	353348.4100000001	414020.35000000003	288270.72	328921.94	378136.61	367885.37	364631.86	438408.87000000005	426276.56	369801.26000000007	434026.33	289527.69	Biotin metabolism	Metabolism	Metabolism of cofactors and vitamins
ko05219	140.6	4.29	830.0	73.5	7.6	35.29	911.03	34.1	0.4	2868.91	162.63	168.4	2.2	9.4	12.0	10.77	233.2	1042.09	203.29	5.0	589.3	34.69	34.40000000000001	12.25	Bladder cancer	Human Diseases	Cancer: specific types
ko00650	558988.2399999998	382036.8700000001	472157.9799999999	587224.0000000001	567974.9599999998	657960.86	490040.3100000002	658152.9099999996	551014.9400000004	283232.73	545998.8100000003	577348.2600000001	502170.24000000046	535591.6000000001	416934.89	471206.48000000004	533109.7800000004	534225.9100000001	476949.65999999986	539149.11	564017.4599999995	532318.1500000003	553431.1900000002	457509.5699999999	Butanoate metabolism	Metabolism	Carbohydrate metabolism
ko00660	234762.41000000003	171204.35	226897.39	237348.94	262991.94	272214.68	223276.41000000006	275927.01	265069.22	138102.40000000002	272809.92	258268.54	221201.46000000002	231053.04000000004	191000.15999999997	208910.24	225325.68	205116.65999999997	218774.72	232090.03000000003	233281.84999999998	231027.81	237161.47999999992	199793.68000000008	C5-Branched dibasic acid metabolism	Metabolism	Carbohydrate metabolism
ko04090	24900.91	42862.5	16321.74	50457.21000000001	59129.15	70743.8	29320.44	70876.7	42793.56000000001	7993.809999999998	31586.0	39290.6	30410.96	50410.82000000001	24093.33	27162.86	34731.47	38299.15	42090.3	55491.65	46699.04	30394.25	44449.59	19587.51	CD molecules	Brite Hierarchies	Protein families: signaling and cellular processes
ko00232	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Caffeine metabolism	Metabolism	Biosynthesis of other secondary metabolites
ko04020	0.0	104.0	81.25	113.0	136.5	0.0	116.75	123.0	0.0	0.0	87.25	0.0	43.0	935.25	11.5	25.25	6.0	7.5	12.5	59.0	19.5	0.0	0.0	0.0	Calcium signaling pathway	Environmental Information Processing	Signal transduction
ko00930	637.2	37.41	2556.0	501.5	156.45	193.36999999999998	2072.49	74.7	613.3	7124.53	487.69	376.3	22.4	681.55	82.5	113.61	656.4	3064.4700000000003	1776.08	7.0	1255.6	128.17	116.80000000000003	73.25	Caprolactam degradation	Metabolism	Xenobiotics biodegradation and metabolism
ko00332	71646.23999999999	53584.84	70436.58000000003	72766.06	80467.78	81650.92	66734.14000000003	78772.26000000002	76502.4	33472.380000000005	77543.36	78852.68	71445.36000000003	68010.28	58532.56	64835.22	72876.74	63081.48	65488.240000000005	72031.74	71945.2	72529.04	75946.06	64978.92000000001	Carbapenem biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
ko04973	6205.2	8490.779999999999	5363.47	11838.93	12642.119999999999	1636.83	4906.080000000001	9324.970000000001	6528.5	12686.68	14638.259999999998	10439.4	5754.21	9950.810000000001	6575.040000000001	8845.640000000003	4430.24	8615.58	14204.16	6548.030000000001	9033.42	2907.62	6540.09	5900.780000000001	Carbohydrate digestion and absorption	Organismal Systems	Digestive system
Carbohydrate metabolism	58140.869999999995	53966.100000000006	46750.96999999999	85777.22	84121.37	101807.04999999999	47314.77999999999	101505.34000000003	74502.92	25859.220000000005	63039.94	68707.21	57528.15	73893.31999999999	51457.84	59505.42999999999	50212.04	67979.43	54948.33	68994.19	61391.45	54875.32	69267.59	44804.939999999995	Carbohydrate metabolism	Not Included in Pathway or Brite	Unclassified: metabolism
ko00710	493204.2899999999	378084.97	458778.18	508101.1500000001	590060.05	619665.0499999999	458759.39	602029.68	553307.38	236816.49000000002	541025.5399999999	575930.46	493962.19000000006	517724.4500000001	398156.76999999996	434455.76000000007	513739.2	481631.3	471350.18	532267.3900000001	544318.2300000001	501437.56000000006	537240.43	433403.6900000001	Carbon fixation in photosynthetic organisms	Metabolism	Energy metabolism
ko00720	911703.6699999996	658298.8799999999	758273.5	969792.2999999999	981862.4999999998	1090990.6400000004	815685.9	1108726.32	913979.2600000001	415200.8299999999	920850.2200000004	963289.46	813620.47	920344.8500000006	666755.52	771132.7600000001	893136.33	851581.0900000002	820771.4399999998	923306.0400000003	916673.7500000002	878485.2900000002	918899.6899999997	743379.9199999999	Carbon fixation pathways in prokaryotes	Metabolism	Energy metabolism
ko04260	60.0	110.0	5313.25	228.0	142.5	0.0	944.75	1261.5	1536.0	43.0	93.25	2586.0	43.0	944.25	291.49	2265.25	669.0	616.5	1532.08	1145.0	1585.5	6.0	70.0	0.0	Cardiac muscle contraction	Organismal Systems	Circulatory system
ko00906	1358.0	60.8	1179.67	88.0	325.66999999999996	228.5	1648.73	438.0	5037.67	6652.33	4731.0	1985.2	1702.33	490.73	1277.0	1614.92	1502.0	557.75	4166.33	475.33	728.25	242.33	556.5	287.25	Carotenoid biosynthesis	Metabolism	Metabolism of terpenoids and polyketides
ko01503	241409.74000000002	270692.67	215031.43	372689.14	397441.58999999985	464569.2299999999	282413.0600000001	478464.7599999999	315011.25000000006	218300.4800000001	291543.29000000004	329301.57	268167.7800000001	348422.65	210744.9	263593.44	286232.99000000005	320034.35	314777.26999999996	366013.0	346656.6099999999	288980.54000000004	355294.18	213910.37	Cationic antimicrobial peptide (CAMP) resistance	Human Diseases	Drug resistance: antimicrobial
ko04515	22.0	6.0	0.0	10.0	11.0	0.0	0.0	0.0	14.0	0.0	10.0	8.0	0.0	56.0	0.0	9.0	2.0	0.0	0.0	5.0	0.0	6.0	28.0	3.0	Cell adhesion molecules	Brite Hierarchies	Protein families: signaling and cellular processes
ko04514	22.0	6.0	0.0	10.0	11.0	0.0	0.0	0.0	14.0	0.0	10.0	8.0	0.0	56.0	0.0	9.0	2.0	0.0	0.0	5.0	0.0	6.0	28.0	3.0	Cell adhesion molecules	Environmental Information Processing	Signaling molecules and interaction
ko04112	440844.86	325992.87	419461.9100000001	451094.74	486138.58999999997	504368.12000000005	392381.63000000024	524710.1100000001	487737.95	201908.91000000003	477213.68	481756.18	427375.82000000007	436727.55	356721.17	391635.6	442383.78	421016.76	387810.37	454446.01999999996	483242.26000000007	430437.03	456471.5900000001	381798.51	Cell cycle - Caulobacter	Cellular Processes	Cell growth and death
ko04110	236.0	0.0	0.0	0.0	0.0	0.0	413.0	0.0	0.0	0.0	0.0	0.0	0.0	231.0	24.0	26.0	14.0	36.0	121.0	0.0	10.0	24.5	0.0	3.0	Cell cycle	Cellular Processes	Cell growth and death
Cell growth	681641.1099999995	220499.05999999997	725559.67	333605.7599999998	528081.5800000003	435746.90999999986	518568.78	271841.4900000001	603128.5499999996	123571.81000000001	611869.9500000002	603924.62	638799.1699999999	427265.24000000017	471247.08999999997	497332.3999999999	553372.51	336752.01	322283.9199999999	406351.79999999993	491221.89	626300.26	464318.1700000003	622012.7500000001	Cell growth	Not Included in Pathway or Brite	Unclassified: signaling and cellular processes
Cell motility	12878.400000000001	258.08000000000004	5741.17	850.33	444.4000000000001	202.66000000000003	7421.349999999999	221.89999999999998	1283.4300000000003	11974.47	4864.02	2352.8	2912.1299999999997	400.65999999999997	2294.34	4138.410000000001	3770.7999999999993	4607.36	2880.95	1126.0	2201.8700000000003	3397.76	852.77	1305.33	Cell motility	Not Included in Pathway or Brite	Unclassified: signaling and cellular processes
ko05230	236552.68	164827.35	218986.75	237133.39999999997	285765.01	296366.74	221793.04000000004	268476.98000000004	265848.66000000003	132064.03	265974.78	267921.7	238555.40999999997	240472.83000000005	177202.73	203228.20000000004	241052.36000000002	214985.53	235944.47999999998	258244.25999999995	228673.86000000002	237862.94999999998	246289.97999999995	206396.42	Central carbon metabolism in cancer	Human Diseases	Cancer: overview
