pathway	A011.337.951	A011.796.405	A065.688.849	A139.426.047	A257.868.269	A290.419.594	A328.260.254	A328.607.302	A475.161.163	A510.125.355	A517.753.353	A519.936.442	A603.130.471	A603.362.293	A627.062.688	A674.187.094	A712.481.521	A742.300.741	A750.812.113	A866.438.792	A896.860.089	A912.362.107	A912.836.594	A929.187.519	Pathway	Pathway1	Pathway2
ko01007	0.0132609004533121	0.0129974061981268	0.0128689168611687	0.0129414570813352	0.0127908426006802	0.0129192714422473	0.0130262043157484	0.0133004925138911	0.0127299327753155	0.0122838108748434	0.0123974940690457	0.0127481781739851	0.0128117466485854	0.0127849128428894	0.0131144064144799	0.013487108545132	0.0131646608288038	0.0131900123243964	0.0131752724917326	0.0126957990635009	0.013009138942746	0.0128651114594557	0.0126825506718949	0.0128786397747791	Amino acid related enzymes	Brite Hierarchies	Protein families: metabolism
ko00520	0.0111750627721848	0.0134598236918217	0.0110709643080126	0.0129540269624981	0.0126475595989059	0.0133428789846114	0.0122110403863847	0.013385043327443	0.0129084576214964	0.0123141086256242	0.0137812489892365	0.0133645220430678	0.0121531757786348	0.0136652152412337	0.0120000870431331	0.0115889021459142	0.0137860212242202	0.0123655805363459	0.0137871604298975	0.0137165369500857	0.0127471529719932	0.012599016363285	0.012356745862381	0.0128948737346666	Amino sugar and nucleotide sugar metabolism	Metabolism	Carbohydrate metabolism
ko00970	0.0103583255992005	0.00913612704998958	0.0101532415699663	0.00899753043512713	0.00902521540294473	0.00879132450513731	0.00962562671468971	0.00897489978812296	0.00940922115626825	0.00819570252636504	0.00903055557019609	0.00936893375954866	0.00968803252100262	0.00905400730327805	0.0100141973559467	0.0101066563094477	0.00972192964687644	0.00953795003807919	0.00922997432918343	0.00881405618600875	0.0094787105818205	0.00963484627036478	0.00917053429784693	0.00985816360331064	Aminoacyl-tRNA biosynthesis	Genetic Information Processing	Translation
ko00627	0.000536130293956209	0.000130139432152966	0.000350107098851547	0.000157475590345449	0.00013521390163215	0.000103008311204131	0.000326077526867973	0.000169096065724642	0.00014578658016401	0.000366688734155002	0.000199312130681551	0.00021230664073564	0.000292140678596695	0.000188696357989464	0.000268087147870845	0.000298421467362569	0.000275455767081274	0.000360641037907779	0.000190698719057952	0.000126234039589103	0.00019573561328077	0.00025772849740349	0.000227922076784563	0.000271450920985523	Aminobenzoate degradation	Metabolism	Xenobiotics biodegradation and metabolism
ko05146	0.000241406118076025	0.000185277103021589	0.000272062256530193	0.000170883550791501	0.000183815113050715	0.00017700508010671	0.000253110128262921	6.62406902461189e-05	0.000304390069966923	0.000185361292106082	0.000312599073332733	0.000260152302755176	0.000210389813798433	0.000225342307001692	0.000227561117996698	0.000190874087783797	0.000201571540139475	0.000188432987504957	0.000235658433569729	0.00019792585734979	0.000169943892141459	0.000253306158264224	0.000199163298747605	0.000336390333254858	Amoebiasis	Human Diseases	Infectious disease: parasitic
ko05031	1.55411797398125e-07	1.35212165621291e-07	4.72736806058037e-07	0	0	1.6267645042046e-07	4.34934493105802e-07	4.48498319815233e-08	9.41547510314125e-08	2.87393136018906e-07	2.92753331529292e-07	4.5534329357179e-07	1.05471241552083e-07	4.15712009758437e-09	3.50206981558831e-06	3.59104253962574e-07	1.38612539338402e-07	5.4458890014889e-08	1.37591414289511e-07	1.99052950588489e-06	5.4213982140631e-07	1.03659911379365e-08	1.87714679256925e-07	4.11851165519958e-06	Amphetamine addiction	Human Diseases	Substance dependence
ko05014	0.000281846029092721	0.00036536917531309	0.000343986547615467	0.000309013486070059	0.000238521380841953	0.000259105510437072	0.000279009139067393	0.00031869330819666	0.000315969503713019	0.000339362628400629	0.000186746817563962	0.000180567800458722	0.000186488764807833	0.000278915945123282	0.000242049551172543	0.000303509392599521	0.000207269940106275	0.000248078433287084	0.000306760402137	0.000257271151286178	0.00030229280793545	0.000234332559065079	0.000245567355431913	0.000141280086193881	Amyotrophic lateral sclerosis	Human Diseases	Neurodegenerative disease
ko01523	0.0017586250834325	0.00207837395184097	0.00178962615636677	0.00191129942359619	0.00209394733119862	0.00214217063134063	0.00180978127297461	0.00226425219935561	0.00198319771559182	0.001692814545504	0.00186069111822634	0.00186444872470488	0.00188268908422749	0.00201713070082219	0.0018600772767869	0.00190503295085108	0.00197838245879474	0.00201198151324447	0.00201011711526755	0.00206053154047111	0.00200942285401283	0.00191086701368704	0.001949660380383	0.00178182870004222	Antifolate resistance	Human Diseases	Drug resistance: antineoplastic
ko04612	0.000430695097110318	0.000430765606680293	0.000416656205603656	0.000420334946472476	0.000382360508044673	0.000368529077380055	0.000401448663438256	0.000383364254323426	0.000407376819109335	0.000318479876755799	0.000430390193717622	0.00038610192307676	0.000388676396564485	0.000401548805513969	0.000405258609431355	0.000426665011830469	0.00040826571308122	0.000346981441278684	0.000395126653412248	0.000401343157264524	0.000391098408623641	0.000415577975035266	0.000391657490130011	0.000395177999346562	Antigen processing and presentation	Organismal Systems	Immune system
ko01504	0.00293684149771209	0.00371771428656679	0.00245341670617233	0.00411887270305993	0.00399949387730809	0.00428456575618283	0.00340695675181259	0.00453642640393345	0.00338130669801382	0.00465689634257659	0.00315460337684502	0.00365055108418894	0.00346090937831823	0.00399620379857502	0.00299915023919753	0.00343501953754305	0.00357777941368073	0.00351858430931522	0.00411919914845306	0.004094120079841	0.00327643082044113	0.00356993052318521	0.00378041803464509	0.00320270581292539	Antimicrobial resistance genes	Brite Hierarchies	Protein families: signaling and cellular processes
ko04371	2.44514561239717e-06	1.48021739206466e-06	9.03761540993306e-07	1.1370267618283e-06	1.26476376158353e-06	0	5.90786019802047e-06	1.10330586674547e-06	0	0	8.15280184357827e-07	0	4.53526338673957e-07	1.21206032845194e-05	4.61311608361354e-07	6.10013026701422e-07	2.07970801708031e-07	4.73792343129534e-07	1.53070448397081e-06	5.94639194163081e-07	2.85591513062252e-07	2.53966782879444e-07	0	3.5727192451779e-08	Apelin signaling pathway	Environmental Information Processing	Signal transduction
ko04214	0.000326317840173249	0.000282505040090761	0.000252361144794057	0.000317910368304935	0.000263003130372033	0.00029716388584598	0.000285304871615932	0.000359617434384841	0.000245526685181357	0.000333967301260434	0.00025708947219592	0.000273987927909598	0.000208472768511983	0.000319873555172722	0.000235129487206327	0.000312215498516603	0.000279048982607784	0.000299667993304869	0.00032252069602728	0.000288995555439994	0.000296413398382981	0.000239811814660769	0.000256532856616506	0.000251489662200148	Apoptosis - fly	Cellular Processes	Cell growth and death
ko04215	8.73414301377464e-06	3.89980351370882e-06	3.57611489759197e-05	3.24002316202401e-06	2.2886201400083e-06	0	4.86234458959306e-06	9.92078283431294e-06	2.81616860334955e-05	8.23860323254197e-07	2.75653472075139e-06	1.06374630119401e-05	1.56097437497083e-06	2.72291366391776e-06	2.34333302354375e-06	1.25454386369424e-05	8.8491576126767e-06	1.24275187013977e-05	5.76737344896866e-06	3.64846420825484e-06	1.52960878182494e-05	2.33234800603571e-06	4.54467118200977e-07	2.63190317728106e-06	Apoptosis - multiple species	Cellular Processes	Cell growth and death
ko04210	0.000213528349858749	0.000481985682960782	0.000176473428326793	0.000389672453982924	0.000403634297797938	0.000409292190593548	0.000259207909856265	0.000531906000849591	0.000296582098928141	0.000144179963264237	0.000239302254456824	0.000277232681578728	0.000243960571685771	0.000421398534339922	0.000233874199843856	0.000287214129495612	0.000318345065590517	0.000356376797901833	0.000338272505113679	0.000440984426391341	0.000373957109198962	0.000261023431346594	0.000313760838098367	0.000215427586864454	Apoptosis	Cellular Processes	Cell growth and death
ko00572	0.000228636863154605	4.52192180416215e-05	0.000114476498936549	6.34822165496208e-05	3.5105950440754e-05	4.80780136897778e-05	0.000126803367118358	5.78534128669182e-05	2.89233979693396e-05	7.45288955820868e-05	3.72650789596359e-05	6.58509481371603e-05	9.7122665427028e-05	4.72291453566584e-05	0.000103109641815359	0.000130976283800591	0.000105344594028578	0.000130976789101429	8.25811056019334e-05	1.76007154294026e-05	3.95718504819529e-05	9.66994593099748e-05	3.69135976898763e-05	0.000114848990127413	Arabinogalactan biosynthesis - Mycobacterium	Metabolism	Glycan biosynthesis and metabolism
ko00590	0.000232345817503444	0.000310806227312655	0.000181603123217376	0.000192322643184042	0.000199291281314892	0.000226020286017343	0.000164422412730387	0.00017428985566743	0.000154586377350157	0.000128547117832776	0.000137776931528886	0.000116334177062876	0.000141148260133215	0.000191943068785678	0.00017933612224633	0.000168492858617787	0.000122168288047348	0.000185200307793674	0.00020357601418082	0.000207489469745406	0.000187774193192736	0.000145765323462727	0.000182722160369088	8.17107091313318e-05	Arachidonic acid metabolism	Metabolism	Lipid metabolism
ko00330	0.0031353262964063	0.00359640321252873	0.00326063893990158	0.00367403261618963	0.00333874885841682	0.00354018804048597	0.00340334646095482	0.00359257281264063	0.00370356865789302	0.00379459163111257	0.00345670762168194	0.00333850742185024	0.00318211534704126	0.00348438374499253	0.0033925470327882	0.00331578764112677	0.00326586636506003	0.00342978810888592	0.00345497051901632	0.0034369233306574	0.00332212604339518	0.00328242385035959	0.00329696816515564	0.00330055389943399	Arginine and proline metabolism	Metabolism	Amino acid metabolism
ko00220	0.00480614226379875	0.00496566578614175	0.00489214175350208	0.00483224399778386	0.00485812689200737	0.0050190996120985	0.00491590911437401	0.00491253906832311	0.00475861811994475	0.00460206422296469	0.00481563130334079	0.00479904559476839	0.00472274505781538	0.00505901333057944	0.00475756119474206	0.00500552931935552	0.0050061491881179	0.00482325822467529	0.00511211979282651	0.0049267154356145	0.00466344046823089	0.00492237796617471	0.00481332764058468	0.00474289066955397	Arginine biosynthesis	Metabolism	Amino acid metabolism
ko05412	2.27937302850584e-07	1.56561454929916e-06	9.03761540993306e-07	1.23764859915824e-06	1.36668611599686e-06	0	1.30201543769493e-06	1.10330586674547e-06	1.31816651443978e-07	0	9.08722039298553e-07	7.48458259415311e-08	4.53526338673957e-07	1.03018632418263e-05	1.49438971722692e-07	4.07667242234609e-07	8.31883206832122e-08	8.16883350223335e-08	1.43324389884907e-07	6.450323462108e-07	1.88780830668269e-07	6.2195946827619e-08	2.76632158904942e-07	3.5727192451779e-08	Arrhythmogenic right ventricular cardiomyopathy	Human Diseases	Cardiovascular disease
ko00053	0.000797814232533146	0.00101450556070087	0.000645681393167843	0.000980292150692951	0.00081395581392562	0.00100027014640509	0.00102339205206642	0.000822361047533709	0.000897659250370604	0.00164196990985666	0.0010867489564013	0.00103639295853085	0.000739730779382376	0.000994794370447834	0.00086848706498565	0.00070218938730357	0.000991492582296369	0.000986087448252935	0.00109282554097003	0.00098524588881123	0.000810774459393844	0.000880655216312761	0.00090295305393763	0.00094648001880687	Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism
ko00791	4.41214092813278e-05	1.81111714348881e-05	3.52829617925683e-05	4.71110436160398e-05	2.54666901004567e-05	2.52928465781566e-05	3.87708413671055e-05	3.00650848688141e-05	2.3199636499389e-05	8.19572417664795e-05	2.56828675978781e-05	3.11358635916769e-05	2.92312491249183e-05	3.18090358506863e-05	3.43614773701881e-05	2.21592439377568e-05	3.86201778771813e-05	5.8215137494776e-05	4.00691423503675e-05	3.99340533402147e-05	4.25943767969754e-05	2.87228138643741e-05	4.60914623447454e-05	2.13974919219365e-05	Atrazine degradation	Metabolism	Xenobiotics biodegradation and metabolism
ko04140	2.44514561239717e-06	0	0	0	0	0	4.60584476032554e-06	0	0	0	0	0	0	2.40073685635497e-06	3.11872636638662e-07	3.09470023302185e-07	1.45579561195621e-07	3.92104008107201e-07	1.3873800940859e-06	0	9.68106823939839e-08	2.53966782879444e-07	0	3.5727192451779e-08	Autophagy - animal	Cellular Processes	Transport and catabolism
ko04138	3.81649931263823e-05	4.98819028266252e-05	6.84272622745301e-05	8.16961778120622e-05	7.23852561043435e-05	3.83454773605957e-05	3.93498618512607e-05	3.2194106392977e-05	7.68782957646587e-05	1.28656327224464e-05	0.00013027476532126	7.7348483246451e-05	0.000119738863753041	4.60920690819667e-05	9.19277083225439e-05	6.0307375656353e-05	3.93335177270398e-05	5.59347259342925e-05	4.01491746896792e-05	6.11168148034733e-05	6.90260165469105e-05	5.16969600233828e-05	0.000106229515341087	7.15913391412899e-05	Autophagy - yeast	Cellular Processes	Transport and catabolism
ko04361	0.000220350824156662	0.000207871198225502	0.000171274213317672	0.000238099441237086	0.000239414220666613	0.000220602720552259	0.000229104309241774	0.000255557482118958	0.00020159219525508	9.92167323478069e-05	0.000142616752405541	0.000211215575707978	0.000196307820982607	0.000195654545608801	0.000161905170743799	0.000215530992863467	0.000225975145968097	0.000160150525400185	0.000210256192004087	0.000220920252629164	0.000205247359636661	0.000200272918323249	0.0002497642604713	0.000191957441417749	Axon regeneration	Organismal Systems	Development and regeneration
ko02030	0.00435995364656648	0.00161639682282023	0.00402494501405499	0.000825965520746742	0.00205249652888227	0.00147733149964626	0.00304736116551592	0.000978292162677486	0.00189330685661562	0.00200434008315441	0.00372874993983104	0.00189639488791965	0.00317164057615775	0.00183926571924698	0.00307342400708235	0.00292325229276232	0.00239813107172146	0.00255066118815563	0.0017274727042916	0.00192947074399258	0.00262538730706027	0.0026016254614858	0.00189134068984546	0.00322956039531306	Bacterial chemotaxis	Cellular Processes	Cell motility
ko05100	2.49694954486321e-06	4.19015384830612e-07	1.39040237075893e-08	2.6161677705784e-07	2.43223800304526e-07	6.55102462504014e-07	4.90277119311892e-05	3.13948823870663e-07	1.41232126547119e-07	0.000164580469226827	7.62952745591021e-06	7.74654298494847e-06	6.06459638924478e-08	4.31301210124378e-07	4.77554974852951e-07	6.57623799517142e-07	2.07970801708031e-08	4.87679360083331e-05	1.17788569987893e-05	3.27555488310172e-08	3.620719521535e-06	1.91076314645583e-06	3.08741248777837e-06	4.61476235835479e-07	Bacterial invasion of epithelial cells	Human Diseases	Infectious disease: bacterial
ko02035	0.0103722179633778	0.00342413665106901	0.0098753888993389	0.00226807236040204	0.00434258342422726	0.00290913065221878	0.00756924639433564	0.00226098650368971	0.00417784205099117	0.00659994236725344	0.00824709009484105	0.00412731506603063	0.00749463549534437	0.0041919342116256	0.00721572520330843	0.00674245613009101	0.00565197183712893	0.00667665098456744	0.00440135923765071	0.00471523049441584	0.00632301807522317	0.00626036288198847	0.00486008618162119	0.00791211772133922	Bacterial motility proteins	Brite Hierarchies	Protein families: signaling and cellular processes
ko03070	0.00530545819675582	0.00500329006567612	0.00543106527183831	0.00579277311402868	0.00525034523751421	0.00491006444617255	0.00538626255368671	0.00549238424728077	0.0052022917838862	0.00616441454682325	0.00523968810157239	0.00566032953959829	0.00542169548712289	0.00524324951441621	0.00545242135593584	0.0055177641019253	0.00523316231635732	0.00547480710775793	0.00529807929027877	0.00521017187656771	0.00532839374045811	0.00544494965899921	0.00540213504133147	0.00541258653117675	Bacterial secretion system	Environmental Information Processing	Membrane transport
ko02042	0.000780659567512746	0.000798311128545504	0.000785144201332257	0.000855085983579213	0.000885382443958363	0.000911013007454828	0.000854214801631406	0.000880761179852482	0.00084643303990545	0.000699841563267958	0.000729435993200478	0.000807852351705777	0.00082934347052593	0.000813455803247087	0.000752355571068239	0.000793449835663675	0.000814934002434521	0.000687313016415431	0.000888882960329646	0.000907478571853366	0.000717545965869802	0.000854219762052884	0.00088113952143878	0.00077804750453092	Bacterial toxins	Brite Hierarchies	Protein families: signaling and cellular processes
ko03022	7.49084863458964e-06	5.69314381563331e-08	0	1.76088215327392e-07	9.82160869801133e-07	2.00048067408944e-07	1.76761838864794e-05	0	0	5.36467187235291e-07	1.35490689664052e-06	6.54900976988397e-08	2.10942483104166e-08	1.010180183713e-05	9.35617909915986e-07	9.28410069906554e-07	1.51818685246862e-06	1.1763120243216e-06	4.1621402822577e-06	1.81415347371788e-07	7.26080117954879e-07	7.92998322052142e-07	5.28565017907658e-07	9.64634196198034e-07	Basal transcription factors	Genetic Information Processing	Transcription
ko03410	0.00398208985751088	0.00327895450966918	0.00364004126054407	0.00334841179773378	0.00315926970763622	0.00328620384850778	0.00359677432046544	0.00312537238198809	0.00333951997211332	0.00335224665390059	0.00341201868078912	0.0034122079195403	0.00345666880158038	0.00334590685277392	0.00357583731022631	0.00357037446509257	0.00369864882008601	0.00355994235091257	0.00345239595433594	0.00329848084448061	0.00333795100797135	0.00354030617907157	0.00328305682787031	0.00362607661619822	Base excision repair	Genetic Information Processing	Replication and repair
ko00362	0.000822074117714858	0.000562022745292863	0.000930397534826029	0.000804506505230411	0.00064446069901329	0.000720713304354027	0.000780401176633101	0.000614043803741225	0.000715769407542603	0.000909706952128132	0.000849122675054694	0.000767315758818562	0.000799708161074625	0.000672402535847998	0.000824624257793333	0.000769386874974882	0.000782159883793353	0.000901143451867732	0.000710839211600971	0.000605902466790963	0.000710746177159813	0.000758451687046653	0.000663037985092542	0.00092865429340498	Benzoate degradation	Metabolism	Xenobiotics biodegradation and metabolism
ko00965	1.11958658845609e-05	1.76188568234312e-06	7.39137900295448e-06	1.28292842595671e-05	8.0574253998025e-06	1.38749822226186e-06	1.14313052171344e-05	4.53880299653015e-07	2.16216970268536e-05	5.52543959264188e-05	2.18616563819321e-06	3.55583163319971e-06	8.8806785386854e-07	1.29286435034874e-06	8.73022472803968e-06	7.96766283071086e-07	3.54101485528178e-06	1.07402733709564e-05	7.22687437604465e-06	3.00847117724881e-06	1.08360196803586e-05	5.56332378381914e-06	9.52405004229873e-07	9.99265754747959e-06	Betalain biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
ko04976	2.44514561239717e-06	0	0	0	0	5.27599298660951e-08	4.60584476032554e-06	0	0	0	9.34418549407252e-09	0	0	2.40073685635497e-06	3.11872636638662e-07	3.09470023302185e-07	1.45579561195621e-07	3.92104008107201e-07	1.3873800940859e-06	0	9.68106823939839e-08	2.53966782879444e-07	0	3.5727192451779e-08	Bile secretion	Organismal Systems	Digestive system
ko02026	0.00246220620147621	0.00245129067023904	0.0027559690406748	0.00233165781495676	0.00250445592117499	0.00234127526327035	0.00277765694808103	0.00233230715500505	0.00238495368437408	0.00360228174776382	0.00264201014073152	0.00243977717472897	0.00263548775043817	0.00241852829109261	0.0025251348888235	0.00244718396251962	0.00230287358150273	0.00263060738328638	0.00228726429060458	0.00245929406441927	0.00265434638329546	0.00239384611433993	0.00248941111843318	0.00265030422957206	Biofilm formation - Escherichia coli	Cellular Processes	Cellular community - prokaryotes
ko02025	0.00131661144872554	0.000931542507104741	0.00135875659033608	0.000766095628157266	0.000941601702772523	0.000886125620937692	0.00122156515841849	0.00088746102715321	0.00095154938120669	0.00172987465677534	0.00106935765180159	0.000911328764330158	0.00104735706207747	0.000946810811721466	0.00107154331034619	0.00104964292807734	0.00111152677796199	0.00106813902407167	0.0010404308450681	0.000975706263555989	0.00120474785485254	0.00105805360565184	0.000926006491291571	0.0011174652409835	Biofilm formation - Pseudomonas aeruginosa	Cellular Processes	Cellular community - prokaryotes
ko05111	0.00294308242106414	0.00318212623129587	0.0024483788890704	0.00299970319808073	0.00308578619183473	0.00324637397052041	0.00299249194877732	0.00312524832735283	0.00249930698337051	0.00339343660453651	0.00238415827644114	0.00277769223237718	0.00266650304561394	0.00313777928402433	0.00258309875738757	0.00264984040727905	0.00301343275775704	0.00314030675987612	0.00311846594891675	0.00302628183054964	0.00288289055597546	0.00270337264018039	0.00269927484547883	0.0027477702733027	Biofilm formation - Vibrio cholerae	Cellular Processes	Cellular community - prokaryotes
ko01051	0.000942740292352955	0.000833423166042636	0.00102288988133365	0.000762682535435035	0.00109677728282989	0.00105704959152804	0.000980517324952704	0.000857454247065972	0.00104311911354854	0.000839347939354256	0.00101350362398746	0.00110760399049282	0.00108152014645737	0.00093943472960432	0.000984911589234569	0.000928277116823466	0.0011135243375124	0.000882992739496889	0.000990369126254958	0.000953438033597622	0.000924240161154841	0.00110108895080018	0.000948107622438484	0.00113869338601322	Biosynthesis of ansamycins	Metabolism	Metabolism of terpenoids and polyketides
ko01053	9.40736619853033e-05	0.000223517950031198	6.00991970024427e-05	0.000211669405091144	0.00018997233513751	0.000216534226493852	0.000177590221791663	0.000239695172943061	0.000119763148526438	0.000575130760610186	0.000117992113814867	0.000115522380523257	0.000102409516881068	0.000175034294572761	0.000120084479586806	0.000138343098678368	0.000114567371186523	0.000208534852987253	0.000217755726699449	0.000167219092508425	0.000176747940521473	7.02478341039225e-05	0.000149387985221043	5.04662075164775e-05	Biosynthesis of siderophore group nonribosomal peptides	Metabolism	Metabolism of terpenoids and polyketides
ko01040	1.63990528614502e-05	4.85383208861357e-06	3.06713864414247e-05	1.15043965274438e-05	5.36917697380814e-06	1.0078905268753e-06	5.4595431051268e-05	3.40230825411835e-06	1.68101067848953e-05	0.000295584989967989	1.21837900238662e-05	1.87413948157594e-05	7.36379114268334e-06	5.56565631464839e-06	1.68118843188029e-05	2.39598833656474e-05	2.13822060214086e-05	5.45217355739662e-05	6.77345333620475e-05	1.10192689856665e-05	3.58093033107107e-05	1.78820603323201e-05	6.13481210971514e-06	8.22618606202213e-06	Biosynthesis of unsaturated fatty acids	Metabolism	Lipid metabolism
ko01055	0.000445400161380129	0.000459869811837382	0.000413931461885727	0.000414443638518646	0.000391080428748163	0.000364592746945962	0.000391820328977543	0.000400531155412002	0.000410864876016045	0.000328765293903067	0.000420394998820178	0.000390111507529731	0.000399502281211116	0.000434239150825343	0.000410641531139739	0.000422990650438416	0.000401301498829825	0.000447180897605979	0.000411579146775916	0.000440460841541565	0.000408455789491423	0.000394054756655834	0.000417223439067207	0.000401454195244566	Biosynthesis of vancomycin group antibiotics	Metabolism	Metabolism of terpenoids and polyketides
ko00998	0.000707622239207523	0.00093213758296207	0.000861500872711131	0.000801990959297162	0.000980882114879989	0.000952434476659834	0.000830933873432102	0.000895831710094577	0.000970553387845369	0.000717152784613769	0.000784422600275187	0.000920125394253066	0.000907018821079377	0.000912538578284959	0.000841224588506949	0.000832520783186372	0.000937070990876213	0.000863369567657824	0.000841570891271566	0.000901120165500593	0.00093978330983456	0.000979756994068952	0.000915450603296558	0.000916612085917183	Biosynthesis of various secondary metabolites - part 2	Metabolism	Biosynthesis of other secondary metabolites
